"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"Ifi204",3.30805076814287,3.65267848801677,3.22868872956941,3.54368463453268,3.3206358813076,3.25543268311475,5.29878362884726,5.12048552319988,5.344995051024,4.15404589044787,4.32738874782764,4.19675337650972
"Ifi47",7.23981858929447,6.55260077200381,6.51835212535748,6.52851799405312,6.57044929296355,6.51809041829597,9.78053341429126,9.5813747212423,8.85254391893423,7.9777797837599,8.45341490253878,8.17084971338991
"Ifit1",6.70633349751782,5.95267033858194,6.21988153729064,6.26962435586549,6.2596513207075,6.52378348329021,10.2180165498834,9.95012342387546,9.76995864883967,8.69149910855546,9.01525540560893,8.95706230066544
"Ifit2",8.083289299545,7.83213873679365,7.91002984071138,7.94801571803655,8.06798169904433,8.05888386138456,10.4548411321492,10.4034272323987,10.0657705877405,9.08218440873835,9.29942926165085,9.14978086797853
"Ifit3",7.43273559623939,7.04865212376286,7.30618281772677,7.91500106724425,7.66047069097163,7.82118129290337,10.5119456821548,10.0883346623355,10.0192261740466,9.01785196256796,9.32818949338725,9.42695893544857
"Igtp",8.06207674089794,7.05739878225403,7.25417980482302,7.36041439655301,7.0774417843641,7.28193371529115,10.3675068615066,9.86387582804768,9.85916505215127,8.63318550025352,9.16142997883267,8.88118690023903
"Il1rn",3.97812142522446,3.71461528059195,4.01147302493122,3.77694858588293,3.85549188353898,3.7439151292204,4.98789669709199,5.32334632355869,4.54213121082523,3.86051722355804,4.03419587200999,3.90646659722661
"Il2rg",5.55273938447269,4.82457588721697,4.86621610810056,4.94471684318209,4.96919105288458,5.1882774300919,7.29316979874966,6.99630580872364,6.86619239635719,5.93578581057304,6.28206056285023,5.9090646360332
"Il6",3.83038335884218,3.73312888355778,3.64813127315587,3.49398009377598,3.81826146390773,3.86193030888222,4.8005395400269,4.97044364516511,5.70930817682135,3.91925507696238,4.03978814736932,3.86921126907717
"Irf1",8.13190439257262,7.95396822693452,7.91246995897694,7.9010091244126,7.83387816791162,7.99576809130132,9.20865759779339,8.83464476589615,9.04474950591736,8.24916376103149,8.51631566190056,8.39339550012249
"Acod1",4.9555760999101,4.8415074100114,5.00599189923861,4.71944725629686,4.76516156147284,4.61336789106183,6.26155311389693,6.29350990986292,6.01893932375384,5.04131367287864,5.26513315485588,5.14327592523727
"Irf9",7.15066607365367,6.88123174625338,6.97902775204838,7.09037340719837,6.63787903583408,6.86397339227737,8.23158171281796,8.13009009066542,8.51476532884353,7.89952475029307,7.89064151437563,7.77015472294745
"Lcn2",5.80851041404437,5.20116095620682,4.93542453860284,5.0999188624764,4.75501340021308,4.62103043074314,8.24849973983377,6.44455774316804,6.39259882001624,5.04365646419256,5.28884593598206,5.66650343959431
"Lgals3",6.15218880352316,6.06802139933252,6.12119486307727,5.92841677911178,5.85298095713148,5.9048192984663,8.41207744722481,7.99584224924581,8.14618288244914,7.01629187025689,7.41269644926735,7.30845996739079
"Lgals9",5.34175998772976,5.76788126777731,5.49995358049687,5.38722448101243,5.48775999093846,5.67238776206872,6.80859921501812,6.32234576833053,6.87746476110313,6.28253290134295,6.31125884495212,6.30504861514419
"Psmb9",6.69374665836945,6.30686373321819,6.44260961637105,6.41248577322281,6.61093751603759,6.31678365843561,8.46868951310658,8.03801346419821,8.05208592595617,7.36307761569606,7.40908998641518,7.24859968632594
"Psmb8",7.402361701873,7.02440696719809,6.98219450886215,7.01901453734645,6.81715382437958,6.87644798219295,9.12054125489936,8.99264798651359,8.8305573136822,8.04132698024418,8.29103242076901,8.13920199272654
"Mid1",8.46188529028743,9.09318118370651,9.10637960865284,7.1872136130882,7.0127732874095,6.94269293271392,8.81059572654938,8.73992432602363,8.41820632617679,6.16216702747135,6.32879637379864,5.54275506787317
"Cxcl9",4.90794469181656,4.56189296422557,4.3422823561526,4.54289548548619,4.27833430617039,4.36114052892288,7.66884624544647,7.69618097473445,7.16130259083719,5.50176148549682,6.01471385116694,5.53817909091165
"Mpz",6.28675649622649,5.11297668223479,6.78371832772289,5.14949319641964,6.42749498544951,5.70487689870611,7.03772698991706,6.77618007331425,6.75454929549817,6.99126639998252,7.21512312370682,7.30360482368271
"Mx1",4.50615376990112,4.47897409853393,4.68438852029035,4.31598673581721,4.45765627026678,4.82943755569765,7.10915899067508,7.26708731181933,6.58962996270654,5.24832087485277,5.50819348448949,5.27464708434141
"Osmr",7.48064473067099,7.03150664278741,7.03480930193514,6.59746637979226,6.91012121377961,6.82793016782755,8.31833554652047,8.15957777798412,8.61598685361902,7.33885997621228,7.5692268320291,7.47284601689333
