"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"1434067_at",3.69419109910164,3.77481456516995,3.61529565962422,3.59562877770982,3.54802588976202,3.6166773323339,4.56720821965566,4.57207030828857,4.46814116833755,3.62954782237285,4.12450563521405,4.22729009823215
"1430285_at",6.8213470216265,6.26640566842838,6.37265244807572,6.23216046624531,6.43607963456253,6.37822714962852,6.22179101730371,6.46648743691573,6.58651604750924,6.53614614153445,6.591882073295,6.47050533653435
"1431566_at",6.60621386507029,6.93405214224153,6.7574387190518,6.70682191427015,6.76725738496202,6.50898704279937,6.65102703705126,6.41222078745122,6.40917907212275,6.70682191427015,6.67732138456531,6.82657488690441
"1457029_at",5.9970254060995,6.10470066687114,6.18921522215508,6.18150708807633,6.2034038007649,6.44317283926907,6.16144229589399,6.30530553420332,6.46920391584741,6.47769280205281,6.30240817218094,6.91241100796672
"1427122_at",7.50476581102552,7.23416996311234,7.14151542807439,7.44111148176205,7.65473115867861,7.47882285142891,7.21442998138433,7.64475262148105,7.98258983007617,8.01502444790292,7.81931333839605,7.96061846589024
"1453951_a_at",5.20525753741069,4.97742404995473,4.90219160032467,5.12461459019674,5.13653641673248,4.87585714335381,5.11176722778457,4.85827551375987,5.12505792740509,5.16886105656456,5.02251823044389,5.26127609323774
"1453455_at",7.66872769243349,7.55703317101748,7.76514757916815,7.50741966759644,7.65898931360293,7.73719769337441,7.58677019411217,7.66838831288864,7.35081709268562,7.37923511308624,7.54153955891828,7.40950833964528
"1459216_at",3.68603495772439,4.08194641169263,3.92585731002305,4.21612792042219,4.03821916753375,3.81559631625702,3.70990334186643,4.01391268422645,3.66784225103487,3.77499572485826,3.79811868522171,3.62074513060553
"1430824_at",3.84450899772774,3.97986333303898,3.85503720866918,4.02413334604492,3.84570546871102,3.72984148123842,3.98192581350756,3.65894987183846,3.6013856543533,3.91947299573304,3.99985664809091,3.83592062669481
"1441105_at",4.79021332688207,4.6477467272628,4.94139248098955,4.5998368487225,4.55089991670368,4.68456188332744,4.65920065801969,4.83031302083005,4.5629746017559,4.67827592047101,4.53159458698239,4.8566844497916
"1452393_at",4.92111576141355,5.56779900762299,5.23048091255131,5.8019959874302,5.20343504741083,5.22917674064562,5.4716481607107,5.18647247306239,5.548552702908,5.17891644618836,4.76533226572417,5.44765259791082
"1434307_at",9.40632721768417,9.41365603631247,9.35479151071034,9.40499146629178,9.2364488942001,9.31961910512004,9.34521430928621,9.34107554140257,9.03661444566453,9.29161337227135,9.0934526566062,9.12914035855544
"1426791_at",8.19895277396407,8.62709920102427,8.50515677180522,8.65049657937596,8.46810776257064,8.51332212624277,8.38809997419665,8.41058692067694,8.39625573281921,8.15827252224701,8.23668222197517,8.28002434684372
"1438273_at",4.28304195925852,4.4126893423596,4.09004513040885,4.38841925389093,3.93684205262523,4.23108510843303,4.09396948514906,4.12588639825812,4.12277191462851,4.24759433227951,4.02328803452698,3.99958192677468
